[INFO] [1776591342.749841159] [yolo_node]: Loading TensorRT FP16 model...
WARNING ⚠️ Unable to automatically guess model task, assuming 'task=detect'. Explicitly define task for your model, i.e. 'task=detect', 'segment', 'classify','pose' or 'obb'.
[INFO] [1776591342.754890804] [yolo_node]: Model loaded.
[INFO] [1776591342.761648530] [yolo_node]: Logging to /home/moon/jeongin/Pixhawk_ReID/results/20260419_183528/log.csv
Loading /home/moon/jeongin/Pixhawk_ReID/ros2_nodes/../models/yolo26n.engine for TensorRT inference...
[04/19/2026-18:35:44] [TRT] [I] Loaded engine size: 8 MiB
[04/19/2026-18:35:44] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
[04/19/2026-18:35:45] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in engine deserialization: CPU +0, GPU +4, now: CPU 0, GPU 4 (MiB)
[04/19/2026-18:35:45] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in IExecutionContext creation: CPU +0, GPU +9, now: CPU 0, GPU 13 (MiB)
ROS=156.0ms | YOLO=20.0ms | total=28.6ms | ROI=10.4KB | det=2 | GPU=77% | pwr=7423mW
ROS=154.3ms | YOLO=19.8ms | total=28.4ms | ROI=10.4KB | det=2 | GPU=77% | pwr=7423mW
ROS=165.7ms | YOLO=20.3ms | total=29.2ms | ROI=10.4KB | det=2 | GPU=77% | pwr=7423mW
ROS=161.8ms | YOLO=20.9ms | total=29.8ms | ROI=10.4KB | det=2 | GPU=77% | pwr=7423mW
ROS=160.9ms | YOLO=20.2ms | total=28.8ms | ROI=10.5KB | det=2 | GPU=77% | pwr=7423mW
ROS=158.6ms | YOLO=20.2ms | total=28.9ms | ROI=10.4KB | det=2 | GPU=77% | pwr=7423mW
ROS=156.7ms | YOLO=20.0ms | total=28.7ms | ROI=10.4KB | det=2 | GPU=77% | pwr=7423mW
ROS=154.2ms | YOLO=20.0ms | total=28.5ms | ROI=10.4KB | det=2 | GPU=77% | pwr=7423mW
ROS=150.4ms | YOLO=19.8ms | total=28.4ms | ROI=10.4KB | det=2 | GPU=77% | pwr=7423mW
ROS=163.3ms | YOLO=20.6ms | total=29.5ms | ROI=10.4KB | det=2 | GPU=77% | pwr=7423mW
ROS=164.4ms | YOLO=20.1ms | total=28.6ms | ROI=10.4KB | det=2 | GPU=77% | pwr=7423mW
ROS=157.8ms | YOLO=19.8ms | total=28.4ms | ROI=10.5KB | det=2 | GPU=77% | pwr=7423mW
ROS=174.1ms | YOLO=20.3ms | total=29.2ms | ROI=10.5KB | det=2 | GPU=77% | pwr=7423mW
ROS=154.6ms | YOLO=19.9ms | total=28.8ms | ROI=10.5KB | det=2 | GPU=77% | pwr=7423mW
ROS=167.2ms | YOLO=19.8ms | total=29.0ms | ROI=10.5KB | det=2 | GPU=77% | pwr=7423mW
ROS=162.7ms | YOLO=20.0ms | total=28.7ms | ROI=10.5KB | det=2 | GPU=77% | pwr=7423mW
ROS=160.4ms | YOLO=19.8ms | total=28.9ms | ROI=10.5KB | det=2 | GPU=77% | pwr=7423mW
ROS=151.0ms | YOLO=20.3ms | total=31.9ms | ROI=10.5KB | det=2 | GPU=77% | pwr=7423mW
ROS=160.5ms | YOLO=21.5ms | total=32.6ms | ROI=10.4KB | det=2 | GPU=77% | pwr=7423mW
ROS=161.5ms | YOLO=22.2ms | total=32.4ms | ROI=10.5KB | det=2 | GPU=77% | pwr=7423mW
ROS=159.4ms | YOLO=22.3ms | total=33.7ms | ROI=10.4KB | det=2 | GPU=77% | pwr=7423mW
ROS=165.2ms | YOLO=21.7ms | total=32.5ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=166.7ms | YOLO=19.8ms | total=28.3ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=165.7ms | YOLO=20.3ms | total=29.0ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=158.6ms | YOLO=19.8ms | total=28.6ms | ROI=10.4KB | det=2 | GPU=43% | pwr=7435mW
ROS=158.2ms | YOLO=19.8ms | total=28.4ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=155.3ms | YOLO=21.4ms | total=31.3ms | ROI=10.4KB | det=2 | GPU=43% | pwr=7435mW
ROS=155.9ms | YOLO=21.3ms | total=31.1ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=153.1ms | YOLO=19.6ms | total=28.3ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=146.7ms | YOLO=19.8ms | total=28.2ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=163.7ms | YOLO=20.8ms | total=32.7ms | ROI=10.4KB | det=2 | GPU=43% | pwr=7435mW
ROS=168.1ms | YOLO=21.6ms | total=30.1ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=165.8ms | YOLO=20.6ms | total=29.7ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=163.2ms | YOLO=20.4ms | total=30.4ms | ROI=10.4KB | det=2 | GPU=43% | pwr=7435mW
ROS=162.9ms | YOLO=20.6ms | total=29.9ms | ROI=10.4KB | det=2 | GPU=43% | pwr=7435mW
ROS=159.8ms | YOLO=19.8ms | total=28.9ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=158.9ms | YOLO=20.3ms | total=30.2ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=156.9ms | YOLO=20.8ms | total=29.6ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=154.6ms | YOLO=20.8ms | total=30.9ms | ROI=10.4KB | det=2 | GPU=43% | pwr=7435mW
ROS=153.6ms | YOLO=20.4ms | total=29.5ms | ROI=10.4KB | det=2 | GPU=43% | pwr=7435mW
ROS=170.0ms | YOLO=20.1ms | total=29.2ms | ROI=10.4KB | det=2 | GPU=43% | pwr=7435mW
ROS=166.1ms | YOLO=20.6ms | total=30.2ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=167.3ms | YOLO=20.5ms | total=29.3ms | ROI=10.4KB | det=2 | GPU=43% | pwr=7435mW
ROS=163.6ms | YOLO=20.1ms | total=29.0ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=160.8ms | YOLO=20.0ms | total=29.4ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=155.9ms | YOLO=20.1ms | total=29.3ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=152.8ms | YOLO=21.0ms | total=31.2ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=153.7ms | YOLO=21.0ms | total=31.4ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=153.6ms | YOLO=20.8ms | total=29.9ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=153.9ms | YOLO=19.8ms | total=29.1ms | ROI=10.5KB | det=2 | GPU=43% | pwr=7435mW
ROS=152.7ms | YOLO=20.2ms | total=29.9ms | ROI=10.6KB | det=2 | GPU=43% | pwr=7435mW
ROS=150.5ms | YOLO=20.4ms | total=29.8ms | ROI=10.6KB | det=1 | GPU=43% | pwr=7435mW
ROS=149.7ms | YOLO=20.1ms | total=29.2ms | ROI=10.6KB | det=2 | GPU=16% | pwr=7396mW
ROS=164.5ms | YOLO=20.4ms | total=29.5ms | ROI=10.6KB | det=2 | GPU=16% | pwr=7396mW
ROS=160.9ms | YOLO=20.5ms | total=29.9ms | ROI=10.6KB | det=2 | GPU=16% | pwr=7396mW
