[INFO] [1776597218.319104442] [yolo_node]: Loading TensorRT FP16 model...
WARNING ⚠️ Unable to automatically guess model task, assuming 'task=detect'. Explicitly define task for your model, i.e. 'task=detect', 'segment', 'classify','pose' or 'obb'.
[INFO] [1776597218.321134270] [yolo_node]: Model loaded.
[INFO] [1776597218.331815648] [yolo_node]: Logging to /home/moon/jeongin/Pixhawk_ReID/results/20260419_201300/log.csv
[INFO] [1776597218.333087853] [yolo_node]: Detection events → /home/moon/jeongin/Pixhawk_ReID/results/20260419_201300/detection_log.csv
Loading /home/moon/jeongin/Pixhawk_ReID/ros2_nodes/../models/yolo26n.engine for TensorRT inference...
[04/19/2026-20:13:50] [TRT] [I] Loaded engine size: 8 MiB
[04/19/2026-20:13:50] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
[04/19/2026-20:13:50] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in engine deserialization: CPU +0, GPU +4, now: CPU 0, GPU 4 (MiB)
[04/19/2026-20:13:50] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in IExecutionContext creation: CPU +0, GPU +9, now: CPU 0, GPU 13 (MiB)
[START] {'cls': 0, 'conf': 0.873, 'bbox': [12, 25, 431, 638]}
ROS=154.1ms | YOLO=13.1ms | total=21.3ms | ROI=14.5KB | det=1 | GPU=42% | pwr=8134mW
ROS=158.7ms | YOLO=12.9ms | total=21.0ms | ROI=14.5KB | det=1 | GPU=42% | pwr=8134mW
ROS=167.1ms | YOLO=13.0ms | total=21.4ms | ROI=14.4KB | det=1 | GPU=42% | pwr=8134mW
ROS=156.8ms | YOLO=13.0ms | total=21.1ms | ROI=14.6KB | det=1 | GPU=42% | pwr=8134mW
ROS=163.9ms | YOLO=13.1ms | total=21.3ms | ROI=14.5KB | det=1 | GPU=42% | pwr=8134mW
ROS=151.7ms | YOLO=13.2ms | total=21.1ms | ROI=14.5KB | det=1 | GPU=42% | pwr=8134mW
ROS=159.2ms | YOLO=13.3ms | total=21.5ms | ROI=14.5KB | det=1 | GPU=42% | pwr=8134mW
ROS=165.3ms | YOLO=13.2ms | total=21.3ms | ROI=14.5KB | det=1 | GPU=42% | pwr=8134mW
ROS=154.0ms | YOLO=13.0ms | total=22.1ms | ROI=14.4KB | det=1 | GPU=42% | pwr=8134mW
ROS=162.9ms | YOLO=13.0ms | total=21.1ms | ROI=14.4KB | det=1 | GPU=42% | pwr=8134mW
[END] detection lost
ROS=169.3ms | YOLO=13.4ms | total=21.9ms | ROI=14.5KB | det=0 | GPU=42% | pwr=8134mW
[START] {'cls': 0, 'conf': 0.565, 'bbox': [2, 106, 221, 640]}
ROS=160.1ms | YOLO=14.7ms | total=23.2ms | ROI=14.4KB | det=1 | GPU=42% | pwr=8134mW
[END] detection lost
ROS=168.3ms | YOLO=13.2ms | total=21.9ms | ROI=14.4KB | det=0 | GPU=42% | pwr=8134mW
[START] {'cls': 0, 'conf': 0.528, 'bbox': [1, 109, 228, 638]}
ROS=156.9ms | YOLO=13.2ms | total=21.8ms | ROI=14.4KB | det=1 | GPU=42% | pwr=8134mW
ROS=161.1ms | YOLO=13.5ms | total=22.3ms | ROI=14.3KB | det=1 | GPU=42% | pwr=8134mW
ROS=154.1ms | YOLO=13.4ms | total=22.0ms | ROI=14.3KB | det=1 | GPU=9% | pwr=8134mW
ROS=160.3ms | YOLO=12.9ms | total=20.8ms | ROI=14.3KB | det=1 | GPU=9% | pwr=8134mW
ROS=167.3ms | YOLO=13.0ms | total=21.2ms | ROI=14.3KB | det=1 | GPU=9% | pwr=8134mW
ROS=157.6ms | YOLO=13.1ms | total=21.7ms | ROI=14.3KB | det=1 | GPU=9% | pwr=8134mW
ROS=164.0ms | YOLO=13.2ms | total=21.3ms | ROI=14.3KB | det=1 | GPU=9% | pwr=8134mW
ROS=155.0ms | YOLO=13.2ms | total=21.5ms | ROI=14.2KB | det=1 | GPU=9% | pwr=8134mW
ROS=160.5ms | YOLO=13.2ms | total=21.5ms | ROI=14.2KB | det=1 | GPU=9% | pwr=8134mW
ROS=166.4ms | YOLO=13.1ms | total=20.9ms | ROI=14.3KB | det=1 | GPU=9% | pwr=8134mW
ROS=156.3ms | YOLO=13.4ms | total=21.4ms | ROI=14.3KB | det=1 | GPU=9% | pwr=8134mW
ROS=162.2ms | YOLO=14.4ms | total=22.4ms | ROI=14.2KB | det=1 | GPU=9% | pwr=8134mW
ROS=154.6ms | YOLO=13.0ms | total=21.1ms | ROI=14.2KB | det=1 | GPU=9% | pwr=8134mW
ROS=159.6ms | YOLO=13.3ms | total=21.2ms | ROI=14.2KB | det=1 | GPU=9% | pwr=8134mW
ROS=166.3ms | YOLO=13.3ms | total=21.7ms | ROI=14.2KB | det=1 | GPU=9% | pwr=8134mW
ROS=154.7ms | YOLO=12.9ms | total=20.9ms | ROI=14.3KB | det=1 | GPU=9% | pwr=8134mW
ROS=158.9ms | YOLO=13.1ms | total=21.2ms | ROI=14.3KB | det=1 | GPU=9% | pwr=8134mW
ROS=168.5ms | YOLO=13.0ms | total=21.0ms | ROI=14.3KB | det=1 | GPU=9% | pwr=8134mW
ROS=151.9ms | YOLO=13.2ms | total=21.1ms | ROI=14.1KB | det=1 | GPU=9% | pwr=8134mW
ROS=162.7ms | YOLO=13.3ms | total=21.2ms | ROI=14.1KB | det=1 | GPU=9% | pwr=8134mW
ROS=152.8ms | YOLO=13.2ms | total=22.1ms | ROI=14.0KB | det=1 | GPU=9% | pwr=8134mW
ROS=159.8ms | YOLO=13.3ms | total=21.3ms | ROI=13.9KB | det=1 | GPU=9% | pwr=8134mW
ROS=168.3ms | YOLO=13.3ms | total=22.0ms | ROI=13.7KB | det=1 | GPU=9% | pwr=8134mW
ROS=153.7ms | YOLO=13.3ms | total=21.4ms | ROI=13.7KB | det=1 | GPU=9% | pwr=8134mW
ROS=162.8ms | YOLO=13.4ms | total=21.7ms | ROI=13.8KB | det=1 | GPU=9% | pwr=8134mW
ROS=154.7ms | YOLO=14.1ms | total=22.5ms | ROI=14.0KB | det=1 | GPU=9% | pwr=8134mW
ROS=161.5ms | YOLO=13.1ms | total=21.1ms | ROI=14.0KB | det=1 | GPU=9% | pwr=8134mW
ROS=151.0ms | YOLO=13.2ms | total=21.7ms | ROI=13.9KB | det=1 | GPU=9% | pwr=8134mW
ROS=156.7ms | YOLO=13.4ms | total=21.5ms | ROI=13.9KB | det=1 | GPU=9% | pwr=8134mW
ROS=164.9ms | YOLO=13.3ms | total=21.6ms | ROI=13.9KB | det=1 | GPU=9% | pwr=8134mW
ROS=154.3ms | YOLO=13.2ms | total=21.4ms | ROI=13.8KB | det=1 | GPU=9% | pwr=8134mW
ROS=162.4ms | YOLO=13.2ms | total=21.4ms | ROI=13.8KB | det=1 | GPU=9% | pwr=8134mW
ROS=168.8ms | YOLO=13.3ms | total=21.7ms | ROI=13.8KB | det=1 | GPU=9% | pwr=8134mW
ROS=156.4ms | YOLO=13.6ms | total=21.4ms | ROI=13.5KB | det=1 | GPU=9% | pwr=8134mW
ROS=165.3ms | YOLO=13.2ms | total=21.1ms | ROI=13.3KB | det=1 | GPU=9% | pwr=8134mW
ROS=153.5ms | YOLO=14.0ms | total=22.2ms | ROI=13.1KB | det=1 | GPU=9% | pwr=8134mW
ROS=160.4ms | YOLO=13.3ms | total=21.1ms | ROI=13.2KB | det=1 | GPU=9% | pwr=8134mW
ROS=166.7ms | YOLO=13.3ms | total=21.6ms | ROI=13.2KB | det=1 | GPU=9% | pwr=8134mW
ROS=156.4ms | YOLO=15.5ms | total=24.2ms | ROI=13.1KB | det=1 | GPU=9% | pwr=8134mW
ROS=166.4ms | YOLO=13.4ms | total=21.4ms | ROI=13.7KB | det=1 | GPU=9% | pwr=8134mW
ROS=156.1ms | YOLO=13.5ms | total=25.2ms | ROI=13.3KB | det=1 | GPU=9% | pwr=8134mW
ROS=166.6ms | YOLO=13.1ms | total=21.1ms | ROI=13.2KB | det=1 | GPU=9% | pwr=8134mW
ROS=156.3ms | YOLO=13.2ms | total=20.8ms | ROI=12.9KB | det=1 | GPU=9% | pwr=8134mW
ROS=160.9ms | YOLO=13.1ms | total=20.7ms | ROI=13.2KB | det=1 | GPU=9% | pwr=8134mW
ROS=151.8ms | YOLO=13.4ms | total=21.3ms | ROI=13.4KB | det=1 | GPU=9% | pwr=8134mW
ROS=155.4ms | YOLO=13.2ms | total=20.8ms | ROI=13.5KB | det=1 | GPU=42% | pwr=8252mW
