timestamp,event,state,detections,nav_state
1776597236.8469875,DETECTION_TRIGGER,IDLE,1,0
1776597236.9096372,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597236.910478,ARM_CMD,TRACKING,0,0
1776597237.0094256,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597237.0102751,ARM_CMD,TRACKING,0,0
1776597237.1096387,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597237.1104708,ARM_CMD,TRACKING,0,0
1776597237.209586,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597237.2104132,ARM_CMD,TRACKING,0,0
1776597237.3094995,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597237.3103178,ARM_CMD,TRACKING,0,0
1776597237.4092379,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597237.4101796,ARM_CMD,TRACKING,0,0
1776597237.5096612,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597237.5105124,ARM_CMD,TRACKING,0,0
1776597237.609486,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597237.6103888,ARM_CMD,TRACKING,0,0
1776597237.7094276,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597237.710324,ARM_CMD,TRACKING,0,0
1776597237.8096023,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597237.8104632,ARM_CMD,TRACKING,0,0
1776597237.9094582,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597237.910274,ARM_CMD,TRACKING,0,0
1776597238.0095391,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597238.0105233,ARM_CMD,TRACKING,0,0
1776597238.109624,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597238.1104743,ARM_CMD,TRACKING,0,0
1776597238.2094524,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597238.2103157,ARM_CMD,TRACKING,0,0
1776597238.3090112,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597238.3099077,ARM_CMD,TRACKING,0,0
1776597238.4096475,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597238.4107091,ARM_CMD,TRACKING,0,0
1776597238.5094957,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597238.5104353,ARM_CMD,TRACKING,0,0
1776597238.609086,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597238.6101341,ARM_CMD,TRACKING,0,0
1776597238.709586,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597238.7105918,ARM_CMD,TRACKING,0,0
1776597238.809618,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597238.8107321,ARM_CMD,TRACKING,0,0
1776597238.9093378,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597238.9101925,ARM_CMD,TRACKING,0,0
1776597239.0097315,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597239.0107076,ARM_CMD,TRACKING,0,0
1776597239.1096468,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597239.1108735,ARM_CMD,TRACKING,0,0
1776597239.2096093,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597239.2106965,ARM_CMD,TRACKING,0,0
1776597239.3093615,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597239.3102667,ARM_CMD,TRACKING,0,0
1776597239.409659,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597239.4105337,ARM_CMD,TRACKING,0,0
1776597239.509416,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597239.5102584,ARM_CMD,TRACKING,0,0
1776597239.61007,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597239.6112902,ARM_CMD,TRACKING,0,0
1776597239.7094803,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597239.7106378,ARM_CMD,TRACKING,0,0
1776597239.809688,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597239.8105454,ARM_CMD,TRACKING,0,0
1776597239.909808,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597239.9109414,ARM_CMD,TRACKING,0,0
1776597240.0096788,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597240.0105839,ARM_CMD,TRACKING,0,0
1776597240.1094303,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597240.1103263,ARM_CMD,TRACKING,0,0
1776597240.2095673,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597240.2104177,ARM_CMD,TRACKING,0,0
1776597240.3096054,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597240.3108106,ARM_CMD,TRACKING,0,0
1776597240.4097378,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597240.4109507,ARM_CMD,TRACKING,0,0
1776597240.5103369,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597240.5112605,ARM_CMD,TRACKING,0,0
1776597240.6099906,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597240.611103,ARM_CMD,TRACKING,0,0
1776597240.7091382,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597240.7099545,ARM_CMD,TRACKING,0,0
1776597240.8097382,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597240.8105857,ARM_CMD,TRACKING,0,0
1776597240.909633,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597240.9104931,ARM_CMD,TRACKING,0,0
1776597241.0094798,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597241.0104525,ARM_CMD,TRACKING,0,0
1776597241.1096609,OFFBOARD_MODE_CMD,TRACKING,0,0
1776597241.1105924,ARM_CMD,TRACKING,0,0
1776597241.2095184,OFFBOARD_MODE_CMD,TRACKING,0,0
