event_id,label_type,time,count,maglat,Bmag,in_saa,detector,channel,note
1,o,2021-10-28 16:00:00+00:00,1.6288888888888888,69.8,39982.6,False,metop03,omni_p6,
1,p,2021-10-28 22:15:00+00:00,93.79055555555556,-25.3,18677.0,True,metop03,omni_p6,
1,e,2021-11-04 16:30:00+00:00,0.1833333333333333,-21.7,29858.4,False,metop03,omni_p6,
2,o,2022-01-20 06:45:00+00:00,1.8066666666666669,44.2,32314.7,False,metop03,omni_p6,
2,p,2022-01-20 12:30:00+00:00,1152.03,0.1,17131.6,True,metop03,omni_p6,
2,e,2022-01-21 08:15:00+00:00,1.921111111111111,68.0,40693.2,False,metop03,omni_p6,
4,o,2022-03-28 10:30:00+00:00,1.1911111111111112,61.7,40979.7,False,metop03,omni_p6,
4,p,2022-03-28 16:00:00+00:00,15.14611111111111,24.6,25880.3,False,metop03,omni_p6,
4,e,2022-03-29 15:45:00+00:00,40.03888888888888,3.4,19479.4,True,metop03,omni_p6,
5,o,2022-03-30 22:45:00+00:00,195.3583333333333,-43.4,19572.1,True,metop03,omni_p6,
5,p,2022-03-31 08:30:00+00:00,4.084444444444444,-45.9,20247.5,True,metop03,omni_p6,
5,e,2022-04-01 04:00:00+00:00,1.7766666666666666,69.4,39927.7,False,metop03,omni_p6,
6,o,2022-04-02 07:30:00+00:00,5.976666666666668,12.2,24466.5,True,metop03,omni_p6,
6,p,2022-04-02 12:45:00+00:00,641.5411111111111,-14.9,16381.5,True,metop03,omni_p6,
6,e,2022-04-03 17:00:00+00:00,1.1755555555555557,82.8,40159.0,False,metop03,omni_p6,
7,o,2022-08-27 07:00:00+00:00,3.716666666666667,-32.3,21850.5,True,metop03,omni_p6,
7,p,2022-08-27 13:30:00+00:00,722.0555555555555,33.0,26435.5,False,metop03,omni_p6,
7,e,2022-08-28 05:00:00+00:00,1.208888888888889,-44.6,30274.4,False,metop03,omni_p6,
8,o,2023-02-24 20:00:00+00:00,0.7922222222222222,-80.9,41653.6,False,metop03,omni_p6,
8,p,2023-02-25 01:15:00+00:00,936.7916666666666,-50.4,22739.6,True,metop03,omni_p6,
8,e,2023-02-25 08:30:00+00:00,1.2866666666666666,42.6,32042.8,False,metop03,omni_p6,
9,o,2023-02-25 18:30:00+00:00,0.4911111111111111,12.3,25666.9,False,metop03,omni_p6,
9,p,2023-02-26 01:00:00+00:00,946.3877777777776,-29.6,17638.3,True,metop03,omni_p6,
9,e,2023-02-27 16:45:00+00:00,0.7344444444444445,34.8,30073.8,False,metop03,omni_p6,
10,o,2023-03-12 17:15:00+00:00,0.4033333333333333,38.9,31567.8,False,metop03,omni_p6,
11,p,2023-03-13 12:00:00+00:00,949.0033333333334,3.9,17845.9,True,metop03,omni_p6,
11,e,2023-03-16 17:00:00+00:00,1.6,77.1,39555.1,False,metop03,omni_p6,
12,o,2023-05-07 19:00:00+00:00,0.3766666666666667,8.4,23859.4,True,metop03,omni_p6,
12,p,2023-05-09 01:15:00+00:00,579.6716666666667,-13.0,16300.0,True,metop03,omni_p6,
12,e,2023-05-09 19:00:00+00:00,0.1688888888888889,22.5,24815.4,True,metop03,omni_p6,
13,o,2023-05-09 16:45:00+00:00,0.7622222222222222,33.7,35442.5,False,metop03,omni_p6,
13,p,2023-05-10 13:45:00+00:00,762.8322222222222,-7.2,16494.0,True,metop03,omni_p6,
13,e,2023-05-12 18:45:00+00:00,0.1777777777777777,-33.1,24917.1,True,metop03,omni_p6,
14,o,2023-07-17 18:30:00+00:00,0.1822222222222222,28.3,26814.1,False,metop03,omni_p6,
14,p,2023-07-18 02:00:00+00:00,896.9677777777778,-36.2,19324.3,True,metop03,omni_p6,
14,e,2023-07-21 08:00:00+00:00,0.4066666666666666,16.7,23429.0,True,metop03,omni_p6,
15,o,2023-07-28 12:15:00+00:00,0.2566666666666666,-4.0,25947.8,False,metop03,omni_p6,
15,p,2023-07-29 11:00:00+00:00,417.24444444444447,13.3,20119.2,True,metop03,omni_p6,
