event_id,label_type,time,count,maglat,Bmag,in_saa,detector,channel,note
1,o,2020-11-30 00:15:00+00:00,0.0066666666666666,79.1,39653.8,False,metop03,pro_tel0_p5,
1,p,2020-12-03 21:15:00+00:00,0.20444444444444443,87.7,40299.1,False,metop03,pro_tel0_p5,
1,e,2020-12-07 20:00:00+00:00,0.01111111111111111,59.3,37657.4,False,metop03,pro_tel0_p5,
2,o,2020-12-07 07:15:00+00:00,0.01111111111111111,-65.5,35770.2,False,metop03,pro_tel0_p5,
2,p,2020-12-09 12:45:00+00:00,4.911111111111111,22.5,21974.4,True,metop03,pro_tel0_p5,
2,e,2020-12-12 23:00:00+00:00,0.02077922077922078,87.7,40082.2,False,metop03,pro_tel0_p5,
3,o,2021-05-28 16:45:00+00:00,0.0,-8.3,26411.9,False,metop03,pro_tel0_p5,
3,p,2021-05-29 03:00:00+00:00,0.20888888888888887,32.5,28879.2,False,metop03,pro_tel0_p5,
3,e,2021-05-31 18:30:00+00:00,0.01111111111111111,-51.7,36212.1,False,metop03,pro_tel0_p5,
4,o,2021-10-27 16:00:00+00:00,0.008888888888888889,-4.3,27064.7,False,metop03,pro_tel0_p5,
4,p,2021-10-31 00:45:00+00:00,2.6911111111111112,-59.1,25570.3,False,metop03,pro_tel0_p5,
4,e,2021-11-01 19:30:00+00:00,0.07111111111111111,40.4,32506.5,False,metop03,pro_tel0_p5,
5,o,2021-11-01 16:30:00+00:00,0.0044444444444444444,64.7,39333.8,False,metop03,pro_tel0_p5,
5,p,2021-11-03 21:30:00+00:00,4.655555555555555,-80.3,42655.0,False,metop03,pro_tel0_p5,
