fold,n_val_windows,n_val_episodes,best_epoch,stopped_epoch,macro_f1,precision_quiet,recall_quiet,f1_quiet,support_quiet,precision_event,recall_event,f1_event,support_event
0,14524.0,3.0,28.0,43.0,0.853202972865527,0.9410501449586599,0.8672934190994557,0.9026676279740447,10105.0,0.7426597582037997,0.8757637474541752,0.8037383177570093,4419.0
1,16161.0,4.0,6.0,21.0,0.9123303318499487,0.9543540508674415,0.9528293954426974,0.9535911137291202,11893.0,0.8691392582225332,0.873008434864105,0.8710695499707773,4268.0
2,15983.0,5.0,50.0,65.0,0.9166327912698753,0.962257432793306,0.9414736108691866,0.951752069026237,11482.0,0.8584965255843335,0.9057987113974673,0.8815135135135135,4501.0
3,16326.0,5.0,5.0,20.0,0.842711169551494,0.9383897500790889,0.9237057220708447,0.9309898387539723,12845.0,0.7338403041825095,0.776213731686297,0.7544325003490158,3481.0
4,16105.0,5.0,38.0,53.0,0.8571706618830006,0.9212498007333014,0.9468337838944868,0.933866602028037,12207.0,0.817645406012925,0.7465366854797332,0.7804747217379643,3898.0
mean,15819.8,4.4,25.4,40.4,0.8764095854839692,0.9434602358863596,0.9264271862753344,0.9345734503022822,11706.4,0.8043562504412203,0.8354642621763555,0.8182457206656562,4113.4
std,734.8004491016592,0.8944271909999159,19.76866206904251,19.76866206904251,0.035186903068076404,0.015786320111811022,0.03479981880769285,0.020543246263264644,1024.2884359397992,0.0634104979020393,0.06964066237513271,0.055907089757528894,422.44916853983744
