timestamp,window_d,k,wp_eval_ms,dds_transport_ms,fsm_infer_ms,node_latency_ms,ap_state,rpn_result,fail_count,trigger_channels,gpu_%,cpu_%,power_mW,ram_MB
1781437520.1400967,7,10,2.9629,253.93,0.2768,2.973,NOMINAL,STALE,0,,0,16.7,5308,4628
1781437520.1496089,7,10,2.5286,10.193,0.0216,0.276,NOMINAL,NORMAL,0,,0,16.7,5308,4628
1781437520.2491899,7,10,1.847,1.094,0.0283,0.374,NOMINAL,NORMAL,0,,0,16.7,5308,4628
1781437520.37506,7,10,2.4979,1.226,0.036,0.446,NOMINAL,NORMAL,0,,4,10.3,4928,3051
1781437520.500052,7,10,2.4472,1.028,0.028,0.343,NOMINAL,NORMAL,0,,4,10.3,4928,3051
1781437520.6251845,7,10,2.5556,1.113,0.0363,0.518,NOMINAL,NORMAL,0,,4,10.3,4928,3051
1781437520.7500515,7,10,2.635,1.166,0.033,0.51,NOMINAL,NORMAL,0,,4,10.3,4928,3051
1781437520.873208,7,10,1.4307,0.882,0.0329,0.539,NOMINAL,NORMAL,0,,4,10.3,4928,3051
1781437521.0005798,7,10,2.5234,1.587,0.0467,0.596,NOMINAL,NORMAL,0,,4,10.3,4928,3051
1781437521.1250424,7,10,2.6306,1.297,0.023,0.319,NOMINAL,NORMAL,0,,4,10.3,4928,3051
1781437521.2501957,7,10,2.7132,1.272,0.0332,0.506,NOMINAL,NORMAL,0,,4,10.3,4928,3051
1781437521.3758109,7,10,2.5615,1.82,0.0413,0.591,NOMINAL,NORMAL,0,,10,12.5,4809,3051
1781437521.4990113,7,10,1.6912,0.972,0.0348,0.562,NOMINAL,NORMAL,0,,10,12.5,4809,3051
1781437521.6244016,7,10,1.4277,1.959,0.038,0.46,NOMINAL,NORMAL,0,,10,12.5,4809,3051
1781437521.7512016,7,10,2.8616,1.734,0.0392,0.537,NOMINAL,NORMAL,0,,10,12.5,4809,3051
1781437521.8741374,7,10,2.6145,0.857,0.022,0.264,NOMINAL,NORMAL,0,,10,12.5,4809,3051
1781437522.0002327,7,10,2.5508,1.44,0.0331,0.455,NOMINAL,NORMAL,0,,10,12.5,4809,3051
1781437522.1246717,7,10,2.7579,0.779,0.0198,0.369,NOMINAL,NORMAL,0,,10,12.5,4809,3051
1781437522.2488165,7,10,1.6728,1.042,0.0338,0.386,NOMINAL,NORMAL,0,,10,12.5,4809,3051
1781437522.3750467,7,10,2.4877,1.347,0.0329,0.44,NOMINAL,NORMAL,0,,0,11.0,4729,3051
1781437522.4995015,7,10,1.6576,1.387,0.0257,0.317,NOMINAL,NORMAL,0,,0,11.0,4729,3051
1781437522.625128,7,10,2.6346,1.088,0.0332,0.604,NOMINAL,NORMAL,0,,0,11.0,4729,3051
1781437522.749806,7,10,2.5643,1.024,0.0339,0.502,NOMINAL,NORMAL,0,,0,11.0,4729,3051
1781437522.87425,7,10,1.8881,1.341,0.02,0.283,NOMINAL,NORMAL,0,,0,11.0,4729,3051
1781437522.999931,7,10,2.5099,1.117,0.0335,0.446,NOMINAL,NORMAL,0,,0,11.0,4729,3051
1781437523.1239936,7,10,1.9487,0.841,0.0219,0.323,NOMINAL,NORMAL,0,,0,11.0,4729,3051
1781437523.2496204,7,10,2.5699,0.932,0.0346,0.394,NOMINAL,NORMAL,0,,0,11.0,4729,3051
1781437523.3751926,7,10,2.6897,1.19,0.0338,0.473,NOMINAL,NORMAL,0,,97,11.2,4809,3051
1781437523.4980872,7,10,1.4463,0.747,0.032,0.482,NOMINAL,NORMAL,0,,97,11.2,4809,3051
1781437523.6248565,7,10,2.673,0.942,0.0337,0.461,NOMINAL,NORMAL,0,,97,11.2,4809,3051
1781437523.7498899,7,10,2.6633,1.021,0.022,0.268,NOMINAL,NORMAL,0,,97,11.2,4809,3051
1781437523.8732193,7,10,1.5156,0.753,0.0215,0.256,NOMINAL,NORMAL,0,,97,11.2,4809,3051
1781437524.000097,7,10,2.5878,1.122,0.034,0.39,NOMINAL,NORMAL,0,,97,11.2,4809,3051
1781437524.123515,7,10,1.4694,0.892,0.0304,0.423,NOMINAL,NORMAL,0,,97,11.2,4809,3051
1781437524.2497416,7,10,2.6705,0.998,0.0336,0.371,NOMINAL,NORMAL,0,,97,11.2,4809,3051
1781437524.375111,7,10,2.6239,1.275,0.0335,0.392,NOMINAL,NORMAL,0,,99,11.7,4809,3052
1781437524.4988654,7,10,2.078,0.789,0.0199,0.247,NOMINAL,NORMAL,0,,99,11.7,4809,3052
1781437524.6249456,7,10,2.6766,1.007,0.0332,0.391,NOMINAL,NORMAL,0,,99,11.7,4809,3052
1781437524.7490792,7,10,2.2311,0.816,0.0224,0.277,NOMINAL,NORMAL,0,,99,11.7,4809,3052
1781437524.8752778,7,10,2.7655,1.155,0.0344,0.457,NOMINAL,NORMAL,0,,99,11.7,4809,3052
1781437525.0001824,7,10,2.7742,0.988,0.0338,0.562,NOMINAL,NORMAL,0,,99,11.7,4809,3052
1781437525.1235096,7,10,1.5989,0.97,0.0353,0.437,NOMINAL,NORMAL,0,,99,11.7,4809,3052
1781437525.249124,7,10,2.2151,0.797,0.0249,0.364,NOMINAL,NORMAL,0,,99,11.7,4809,3052
1781437525.3748958,7,10,2.8124,0.969,0.0221,0.317,NOMINAL,NORMAL,0,,99,13.2,4848,3054
