event_id,onset_time,onset_count,peak_time,peak_count,end_time,end_count
5,2022-03-30 22:45:00+00:00,195.3583333333333,2022-03-31 08:30:00+00:00,4.084444444444444,2022-04-01 04:00:00+00:00,1.7766666666666666
6,2022-04-02 07:30:00+00:00,5.976666666666668,2022-04-02 12:45:00+00:00,641.5411111111111,2022-04-03 17:00:00+00:00,1.1755555555555557
7,2022-08-27 07:00:00+00:00,3.716666666666667,2022-08-27 13:30:00+00:00,722.0555555555555,2022-08-28 05:00:00+00:00,1.208888888888889
8,2023-02-24 20:00:00+00:00,0.7922222222222222,2023-02-25 01:15:00+00:00,936.7916666666666,2023-02-25 08:30:00+00:00,1.2866666666666666
10,2023-03-12 17:15:00+00:00,0.4033333333333333,2023-03-13 12:00:00+00:00,949.0033333333334,2023-03-16 17:00:00+00:00,1.6
12,2023-05-07 19:00:00+00:00,0.3766666666666667,2023-05-09 01:15:00+00:00,579.6716666666667,2023-05-09 19:00:00+00:00,0.1688888888888889
19,2023-12-14 16:00:00+00:00,0.2088888888888888,2023-12-15 18:45:00+00:00,0.7611111111111111,2023-12-17 05:45:00+00:00,0.45
20,2024-01-01 17:00:00+00:00,0.53,2024-01-04 01:45:00+00:00,934.85,2024-01-10 17:15:00+00:00,0.5244444444444444
24,2024-02-12 05:00:00+00:00,0.7033333333333334,2024-02-13 01:15:00+00:00,976.8338888888889,2024-02-20 09:15:00+00:00,19.167777777777776
31,2024-08-05 06:15:00+00:00,0.3333333333333333,2024-08-05 21:30:00+00:00,24.401666666666667,2024-08-07 06:15:00+00:00,0.5888888888888889
32,2024-09-01 05:15:00+00:00,0.3744444444444444,2024-09-03 12:45:00+00:00,3.1666666666666665,2024-09-06 16:15:00+00:00,0.4133333333333333
33,2024-09-08 18:30:00+00:00,0.6322222222222222,2024-09-10 00:45:00+00:00,1.2916666666666667,2024-09-11 05:30:00+00:00,0.4022222222222222
36,2024-09-14 08:15:00+00:00,0.4566666666666667,2024-09-17 12:30:00+00:00,529.8677777777777,2024-09-21 05:15:00+00:00,0.5233333333333333
37,2024-10-07 16:45:00+00:00,0.4133333333333333,2024-10-10 01:45:00+00:00,707.91,2024-10-12 16:30:00+00:00,0.1333333333333333
38,2024-10-24 04:30:00+00:00,0.2855555555555555,2024-10-28 02:15:00+00:00,683.5105555555555,2024-11-05 13:15:00+00:00,
40,2024-12-20 16:00:00+00:00,0.1577777777777777,2024-12-22 02:00:00+00:00,1.6411111111111112,2024-12-28 18:45:00+00:00,0.5633333333333332
43,2025-03-30 04:30:00+00:00,1.231111111111111,2025-04-01 02:30:00+00:00,15.967222222222222,2025-04-04 06:15:00+00:00,0.1844444444444444
45,2025-08-21 19:15:00+00:00,0.3455555555555555,2025-08-26 08:30:00+00:00,34.28111111111112,2025-09-02 20:00:00+00:00,0.4877777777777777
48,2025-05-13 06:30:00+00:00,0.5522222222222222,2025-05-13 23:00:00+00:00,156.7572222222222,2025-05-14 18:30:00+00:00,0.1855555555555555
49,2024-06-11 17:00:00+00:00,0.6811111111111111,2024-06-12 12:45:00+00:00,1123.4361111111111,2024-06-15 19:45:00+00:00,0.4511111111111111
50,2024-05-20 02:30:00+00:00,6.644444444444445,2024-05-21 00:45:00+00:00,819.3199999999999,2024-05-25 02:00:00+00:00,0.1744444444444444
52,2025-10-21 16:00:00+00:00,0.2966666666666667,2025-10-22 11:00:00+00:00,0.8733333333333333,2025-10-26 23:30:00+00:00,0.3388888888888888
53,2025-11-04 19:00:00+00:00,0.7422222222222222,2025-11-05 13:15:00+00:00,975.1977777777778,2025-11-06 18:45:00+00:00,0.1488888888888889
54,2024-09-23 17:45:00+00:00,0.64,2024-09-24 12:15:00+00:00,0.9755555555555556,2024-09-26 18:00:00+00:00,0.32
55,2024-01-22 06:15:00+00:00,0.5077777777777778,2024-01-22 15:15:00+00:00,0.73,2024-01-23 06:00:00+00:00,0.2433333333333333
56,2023-07-24 16:45:00+00:00,0.3877777777777778,2023-07-25 12:00:00+00:00,1.57,2023-07-28 15:30:00+00:00,0.1411111111111111
58,2023-07-10 06:00:00+00:00,0.9766666666666668,2023-07-10 21:15:00+00:00,0.9977777777777778,2023-07-11 15:00:00+00:00,0.7055555555555556
59,2022-07-09 06:15:00+00:00,0.3388888888888888,2022-07-09 14:00:00+00:00,217.8211111111111,2022-07-10 07:15:00+00:00,0.5911111111111111
60,2021-05-28 17:15:00+00:00,0.9533333333333333,2021-05-29 01:00:00+00:00,1039.5277777777778,2021-05-30 05:00:00+00:00,0.2366666666666666
61,2020-11-29 23:45:00+00:00,545.6049425287357,2020-12-01 01:00:00+00:00,1011.4983333333332,2020-12-03 21:45:00+00:00,0.86
