gate_N,agg_rule,reference,chosen_threshold,n_det,POD,event_FAR,precision,F1,duty_cycle,calls_per_day,n_det_th099,POD_th099,event_FAR_th099,F1_th099
1,1,noaa,0.99,1219,1.0,0.16,0.84,0.9130434782608696,0.18075727892994664,17.352698777274878,1219,1.0,0.16,0.9130434782608696
1,1,manual,0.96,1646,0.8679245283018868,0.23333333333333334,0.7666666666666667,0.8141592920353983,0.18075727892994664,17.352698777274878,1219,0.660377358490566,0.2708333333333333,0.693069306930693
1,2,noaa,0.98,771,0.9523809523809523,0.16666666666666666,0.8333333333333334,0.888888888888889,0.18075727892994664,17.352698777274878,620,0.8571428571428571,0.16279069767441862,0.8470588235294119
1,2,manual,0.92,1032,0.8679245283018868,0.22033898305084745,0.7796610169491526,0.8214285714285715,0.18075727892994664,17.352698777274878,620,0.5660377358490566,0.25,0.6451612903225807
1,3,noaa,0.93,387,0.8095238095238095,0.10526315789473684,0.8947368421052632,0.8500000000000001,0.18075727892994664,17.352698777274878,290,0.7619047619047619,0.058823529411764705,0.8421052631578947
1,3,manual,0.93,387,0.5094339622641509,0.22857142857142856,0.7714285714285715,0.6136363636363636,0.18075727892994664,17.352698777274878,290,0.4528301886792453,0.2,0.5783132530120482
1,4,noaa,0.85,208,0.7380952380952381,0.06060606060606061,0.9393939393939394,0.8266666666666667,0.18075727892994664,17.352698777274878,164,0.6666666666666666,0.06666666666666667,0.7777777777777778
1,4,manual,0.85,208,0.4339622641509434,0.17857142857142858,0.8214285714285714,0.5679012345679013,0.18075727892994664,17.352698777274878,164,0.39622641509433965,0.19230769230769232,0.5316455696202532
1,any,noaa,0.99,1186,1.0,0.16,0.84,0.9130434782608696,0.18075727892994664,17.352698777274878,1186,1.0,0.16,0.9130434782608696
1,any,manual,0.96,1635,0.8679245283018868,0.23333333333333334,0.7666666666666667,0.8141592920353983,0.18075727892994664,17.352698777274878,1186,0.660377358490566,0.2708333333333333,0.693069306930693
1,max,noaa,0.99,1186,1.0,0.16,0.84,0.9130434782608696,0.18075727892994664,17.352698777274878,1186,1.0,0.16,0.9130434782608696
1,max,manual,0.96,1635,0.8679245283018868,0.23333333333333334,0.7666666666666667,0.8141592920353983,0.18075727892994664,17.352698777274878,1186,0.660377358490566,0.2708333333333333,0.693069306930693
2,1,noaa,0.99,745,0.9047619047619048,0.13636363636363635,0.8636363636363636,0.8837209302325582,0.06841518611092347,6.567857866648653,745,0.9047619047619048,0.13636363636363635,0.8837209302325582
2,1,manual,0.93,1060,0.8679245283018868,0.25806451612903225,0.7419354838709677,0.8,0.06841518611092347,6.567857866648653,745,0.6037735849056604,0.21951219512195122,0.6808510638297872
2,2,noaa,0.96,378,0.7857142857142857,0.08333333333333333,0.9166666666666666,0.8461538461538461,0.06841518611092347,6.567857866648653,322,0.7619047619047619,0.058823529411764705,0.8421052631578947
2,2,manual,0.85,398,0.5094339622641509,0.25,0.75,0.6067415730337078,0.06841518611092347,6.567857866648653,322,0.4528301886792453,0.2,0.5783132530120482
2,3,noaa,0.85,210,0.7380952380952381,0.06060606060606061,0.9393939393939394,0.8266666666666667,0.06841518611092347,6.567857866648653,171,0.6666666666666666,0.06666666666666667,0.7777777777777778
2,3,manual,0.85,210,0.4339622641509434,0.17857142857142858,0.8214285714285714,0.5679012345679013,0.06841518611092347,6.567857866648653,171,0.39622641509433965,0.19230769230769232,0.5316455696202532
2,4,noaa,0.85,182,0.6666666666666666,0.06666666666666667,0.9333333333333333,0.7777777777777778,0.06841518611092347,6.567857866648653,145,0.6428571428571429,0.06896551724137931,0.7605633802816901
2,4,manual,0.85,182,0.39622641509433965,0.19230769230769232,0.8076923076923077,0.5316455696202532,0.06841518611092347,6.567857866648653,145,0.37735849056603776,0.2,0.5128205128205128
2,any,noaa,0.99,730,0.9047619047619048,0.13636363636363635,0.8636363636363636,0.8837209302325582,0.06841518611092347,6.567857866648653,730,0.9047619047619048,0.13636363636363635,0.8837209302325582
