forecast_min,exp_name,n_windows,fold,macro_f1,n_transition_windows,transition_macro_f1,n_val_windows,n_val_episodes,best_epoch,stopped_epoch,precision_quiet,recall_quiet,f1_quiet,support_quiet,precision_event,recall_event,f1_event,support_event,transition_precision_quiet,transition_recall_quiet,transition_f1_quiet,transition_support_quiet,transition_precision_event,transition_recall_event,transition_f1_event,transition_support_event
30,omniall_fc30_20260808_1932,78865,mean,0.8737054643114703,183,0.2801379811183733,15773.0,4.4,27.2,42.2,0.9391626304371788,0.9242628668176828,0.9314708805959112,11674.0,0.8032514389304517,0.8311801565133241,0.8159400480270295,4099.0,0.3217391304347826,0.4157303370786517,0.3627450980392157,89,0.23529411764705882,0.1702127659574468,0.19753086419753085,94
45,omniall_fc45_20260808_1932,78757,mean,0.8821382916817587,268,0.2795186549649375,15751.4,4.4,37.2,52.2,0.9397568519590032,0.9347249493490712,0.937099670316849,11658.2,0.8249607442777641,0.8308802650409877,0.8271769130466685,4093.2,0.33146067415730335,0.4573643410852713,0.38436482084690554,129,0.2222222222222222,0.14388489208633093,0.17467248908296942,139
60,omniall_fc60_20260808_1932,78650,mean,0.8792223521175986,347,0.26607445008460234,15730.0,4.4,42.2,57.2,0.9392264029855824,0.9316200774332576,0.9352076520690268,11641.6,0.8181850659165173,0.8301983776672465,0.8232370521661702,4088.4,0.3130434782608696,0.43902439024390244,0.36548223350253806,164,0.21367521367521367,0.1366120218579235,0.16666666666666666,183
90,omniall_fc90_20260808_1932,78481,mean,0.8755849308200144,503,0.2705681415358835,15696.2,4.4,21.6,36.6,0.9369738008314364,0.93034471382708,0.9332207003471072,11614.8,0.8191361059581119,0.8204102418664053,0.8179491612929215,4081.4,0.31176470588235294,0.45689655172413796,0.3706293706293706,232,0.22699386503067484,0.13653136531365315,0.17050691244239632,271
120,omniall_fc120_20260808_1932,78465,mean,0.8726384703801383,662,0.2708441318030359,15693.0,4.4,37.4,52.4,0.938495649146193,0.923470751178334,0.9306179052851272,11607.8,0.8042566651741355,0.8280545661947356,0.8146590354751494,4085.2,0.30205949656750575,0.43564356435643564,0.3567567567567568,303,0.24,0.15041782729805014,0.18493150684931506,359
