forecast_min,exp_name,n_windows,fold,macro_f1,n_transition_windows,transition_macro_f1,n_val_windows,n_val_episodes,best_epoch,stopped_epoch,precision_quiet,recall_quiet,f1_quiet,support_quiet,precision_event,recall_event,f1_event,support_event,transition_precision_quiet,transition_recall_quiet,transition_f1_quiet,transition_support_quiet,transition_precision_event,transition_recall_event,transition_f1_event,transition_support_event
30,eleall_fc30_20260808_1932,78865,mean,0.8467485841194359,183,0.2911337924249877,15773.0,4.4,23.0,38.0,0.9142244157279542,0.9302353817170964,0.9220625947547454,11674.0,0.7950474392603742,0.7508427967948151,0.7714345734841261,4099.0,0.352,0.4943820224719101,0.411214953271028,89,0.22413793103448276,0.13829787234042554,0.17105263157894737,94
45,eleall_fc45_20260808_1932,78757,mean,0.8472299400894521,268,0.2877259445252045,15751.4,4.4,18.2,33.2,0.911783189314934,0.9347514614092088,0.9231101940918182,11658.2,0.8017750587180634,0.7434384108263418,0.7713496860870859,4093.2,0.37,0.5736434108527132,0.44984802431610943,129,0.19117647058823528,0.09352517985611511,0.12560386473429952,139
60,eleall_fc60_20260808_1932,78650,mean,0.845553503602896,347,0.2846214134805425,15730.0,4.4,21.8,36.8,0.915586234026046,0.9250753012476364,0.9201327122148626,11641.6,0.7883449452143634,0.7571464735398741,0.7709742949909292,4088.4,0.33613445378151263,0.4878048780487805,0.39800995024875624,164,0.22935779816513763,0.1366120218579235,0.17123287671232876,183
90,eleall_fc90_20260808_1932,78481,mean,0.8423907177489905,503,0.2852699164946481,15696.2,4.4,20.2,35.2,0.9149206775546114,0.9221752209368091,0.9185119871746188,11614.8,0.7757505745788491,0.7572935569728196,0.7662694483233624,4081.4,0.33613445378151263,0.5172413793103449,0.4074702886247878,232,0.2328767123287671,0.12546125461254612,0.1630695443645084,271
120,eleall_fc120_20260808_1932,78465,mean,0.8431408873235131,662,0.2809753397385356,15693.0,4.4,21.0,36.0,0.9152415209065689,0.9227025134203553,0.9187981706342632,11607.8,0.7813892254489752,0.7564787345923871,0.7674836040127632,4085.2,0.31777777777777777,0.47194719471947194,0.3798140770252324,303,0.24528301886792453,0.14484679665738162,0.18213660245183888,359
