forecast_min,exp_name,n_windows,fold,macro_f1,n_transition_windows,transition_macro_f1,n_val_windows,n_val_episodes,best_epoch,stopped_epoch,precision_quiet,recall_quiet,f1_quiet,support_quiet,precision_event,recall_event,f1_event,support_event,transition_precision_quiet,transition_recall_quiet,transition_f1_quiet,transition_support_quiet,transition_precision_event,transition_recall_event,transition_f1_event,transition_support_event
30,proall_fc30_20260808_1932,78865,mean,0.8638069836982764,183,0.26010781671159033,15773.0,4.4,16.8,31.8,0.9270219025831457,0.9312429490674484,0.92881514360576,11674.0,0.8123495201226284,0.7909932701544997,0.7987988237907929,4099.0,0.3252032520325203,0.449438202247191,0.37735849056603776,89,0.18333333333333332,0.11702127659574468,0.14285714285714285,94
45,proall_fc45_20260808_1932,78757,mean,0.8591284457912192,268,0.2710648148148148,15751.4,4.4,17.4,32.4,0.9247808975135988,0.9284055008177,0.9262561254245142,11658.2,0.8049970984620309,0.7841084333039292,0.7920007661579241,4093.2,0.34554973821989526,0.5116279069767442,0.4125,129,0.18181818181818182,0.10071942446043165,0.12962962962962962,139
60,proall_fc60_20260808_1932,78650,mean,0.8635906407068002,347,0.26548310003414133,15730.0,4.4,14.0,29.0,0.9274753403086408,0.9301474415426312,0.928714418061056,11641.6,0.8034014862367511,0.7951091192471723,0.7984668633525447,4088.4,0.325,0.47560975609756095,0.38613861386138615,164,0.19626168224299065,0.11475409836065574,0.14482758620689656,183
90,proall_fc90_20260808_1932,78481,mean,0.8596117738400585,503,0.2727710843373494,15696.2,4.4,24.8,39.8,0.9234306554758476,0.9308920161419574,0.9267706765652868,11614.8,0.8129858772780405,0.7794260829849323,0.7924528711148302,4081.4,0.3209169054441261,0.4827586206896552,0.3855421686746988,232,0.22077922077922077,0.12546125461254612,0.16,271
120,proall_fc120_20260808_1932,78465,mean,0.8588395711598448,662,0.2677727501256913,15693.0,4.4,8.6,23.6,0.922967521184261,0.930610080688666,0.9266222994127328,11607.8,0.8047714268586587,0.780777195067841,0.791056842906957,4085.2,0.31601731601731603,0.48184818481848185,0.38169934640522873,303,0.215,0.11977715877437325,0.15384615384615385,359
