event_id,onset_time,onset_count,peak_time,peak_count,end_time,end_count
1,2021-10-28 16:00:00+00:00,1.6288888888888888,2021-10-28 22:15:00+00:00,93.79055555555556,2021-11-04 16:30:00+00:00,0.1833333333333333
2,2022-01-20 06:45:00+00:00,1.8066666666666669,2022-01-20 12:30:00+00:00,1152.03,2022-01-21 08:15:00+00:00,1.921111111111111
4,2022-03-28 10:30:00+00:00,1.1911111111111112,2022-03-28 16:00:00+00:00,15.14611111111111,2022-03-29 15:45:00+00:00,40.03888888888888
5,2022-03-30 22:45:00+00:00,195.3583333333333,2022-03-31 08:30:00+00:00,4.084444444444444,2022-04-01 04:00:00+00:00,1.7766666666666666
6,2022-04-02 07:30:00+00:00,5.976666666666668,2022-04-02 12:45:00+00:00,641.5411111111111,2022-04-03 17:00:00+00:00,1.1755555555555557
7,2022-08-27 07:00:00+00:00,3.716666666666667,2022-08-27 13:30:00+00:00,722.0555555555555,2022-08-28 05:00:00+00:00,1.208888888888889
8,2023-02-24 20:00:00+00:00,0.7922222222222222,2023-02-25 01:15:00+00:00,936.7916666666666,2023-02-25 08:30:00+00:00,1.2866666666666666
9,2023-02-25 18:30:00+00:00,0.4911111111111111,2023-02-26 01:00:00+00:00,946.3877777777776,2023-02-27 16:45:00+00:00,0.7344444444444445
10,2023-03-12 17:15:00+00:00,0.4033333333333333,2023-03-13 12:00:00+00:00,949.0033333333334,2023-03-16 17:00:00+00:00,1.6
12,2023-05-07 19:00:00+00:00,0.3766666666666667,2023-05-09 01:15:00+00:00,579.6716666666667,2023-05-09 19:00:00+00:00,0.1688888888888889
13,2023-05-09 16:45:00+00:00,0.7622222222222222,2023-05-10 13:45:00+00:00,762.8322222222222,2023-05-12 18:45:00+00:00,0.1777777777777777
14,2023-07-17 18:30:00+00:00,0.1822222222222222,2023-07-18 02:00:00+00:00,896.9677777777778,2023-07-21 08:00:00+00:00,0.4066666666666666
15,2023-07-28 12:15:00+00:00,0.2566666666666666,2023-07-29 11:00:00+00:00,417.24444444444447,2023-08-02 05:30:00+00:00,0.5288888888888889
16,2023-08-05 02:45:00+00:00,0.48,2023-08-05 12:00:00+00:00,844.8927777777777,2023-08-07 21:15:00+00:00,0.1344444444444444
17,2023-08-07 17:00:00+00:00,0.2533333333333333,2023-08-08 21:45:00+00:00,34.31444444444445,2023-08-11 17:45:00+00:00,0.7477777777777778
18,2023-08-31 18:30:00+00:00,0.6255555555555555,2023-09-01 01:30:00+00:00,1014.5944444444444,2023-09-03 06:30:00+00:00,0.6311111111111111
19,2023-12-14 16:00:00+00:00,0.2088888888888888,2023-12-15 18:45:00+00:00,0.7611111111111111,2023-12-17 05:45:00+00:00,0.45
20,2024-01-01 17:00:00+00:00,0.53,2024-01-04 01:45:00+00:00,934.85,2024-01-10 17:15:00+00:00,0.5244444444444444
21,2024-01-28 18:15:00+00:00,0.5422222222222222,2024-01-29 12:30:00+00:00,885.3766666666668,2024-02-01 06:15:00+00:00,0.2488888888888888
22,2024-02-09 05:30:00+00:00,0.4922222222222222,2024-02-10 02:15:00+00:00,799.6322222222223,2024-02-12 07:30:00+00:00,0.2088888888888888
24,2024-02-12 05:00:00+00:00,0.7033333333333334,2024-02-13 01:15:00+00:00,976.8338888888889,2024-02-20 09:15:00+00:00,19.167777777777776
25,2024-03-15 04:15:00+00:00,0.4944444444444444,2024-03-16 01:45:00+00:00,549.51,2024-03-19 08:30:00+00:00,5.2844444444444445
26,2024-03-22 15:15:00+00:00,0.3377777777777778,2024-03-24 14:00:00+00:00,188.8705555555556,2024-03-31 01:30:00+00:00,51.77055555555556
27,2024-05-09 15:45:00+00:00,0.7122222222222222,2024-05-11 12:00:00+00:00,630.6605555555556,2024-05-13 11:00:00+00:00,0.7244444444444444
28,2024-05-13 07:15:00+00:00,0.6377777777777778,2024-05-14 01:30:00+00:00,915.8272222222222,2024-05-19 18:30:00+00:00,0.1722222222222222
29,2024-06-07 16:15:00+00:00,1.4088888888888889,2024-06-08 08:30:00+00:00,479.5472222222222,2024-06-11 22:45:00+00:00,0.8200000000000001
30,2024-07-22 16:45:00+00:00,0.5688888888888889,2024-07-23 12:00:00+00:00,640.2172222222222,2024-07-26 18:00:00+00:00,0.6655555555555555
31,2024-08-05 06:15:00+00:00,0.3333333333333333,2024-08-05 21:30:00+00:00,24.401666666666667,2024-08-07 06:15:00+00:00,0.5888888888888889
32,2024-09-01 05:15:00+00:00,0.3744444444444444,2024-09-03 12:45:00+00:00,3.1666666666666665,2024-09-06 16:15:00+00:00,0.4133333333333333
33,2024-09-08 18:30:00+00:00,0.6322222222222222,2024-09-10 00:45:00+00:00,1.2916666666666667,2024-09-11 05:30:00+00:00,0.4022222222222222
36,2024-09-14 08:15:00+00:00,0.4566666666666667,2024-09-17 12:30:00+00:00,529.8677777777777,2024-09-21 05:15:00+00:00,0.5233333333333333
37,2024-10-07 16:45:00+00:00,0.4133333333333333,2024-10-10 01:45:00+00:00,707.91,2024-10-12 16:30:00+00:00,0.1333333333333333
38,2024-10-24 04:30:00+00:00,0.2855555555555555,2024-10-28 02:15:00+00:00,683.5105555555555,2024-11-05 13:15:00+00:00,
39,2024-11-21 16:15:00+00:00,0.4111111111111111,2024-11-22 02:00:00+00:00,827.1905555555555,2024-11-25 08:30:00+00:00,0.3055555555555556
40,2024-12-20 15:15:00+00:00,57.507777777777775,2024-12-22 02:00:00+00:00,1.6411111111111112,2024-12-28 18:45:00+00:00,0.5633333333333332
41,2025-01-04 15:45:00+00:00,0.21,2025-01-05 01:45:00+00:00,668.2422222222223,2025-01-07 00:30:00+00:00,0.2822222222222222
42,2025-02-24 15:00:00+00:00,0.2122222222222222,2025-02-25 01:00:00+00:00,655.9811111111111,2025-02-27 17:30:00+00:00,0.55
43,2025-03-30 04:30:00+00:00,1.231111111111111,2025-04-01 02:30:00+00:00,15.967222222222222,2025-04-04 06:15:00+00:00,0.1844444444444444
44,2025-05-31 04:45:00+00:00,0.4566666666666666,2025-06-01 09:30:00+00:00,57.66944444444445,2025-06-08 11:30:00+00:00,538.2972222222222
45,2025-08-21 19:15:00+00:00,0.3455555555555555,2025-08-26 08:30:00+00:00,34.28111111111112,2025-08-31 23:45:00+00:00,0.5387739463601533
46,2025-11-10 05:00:00+00:00,0.5155555555555555,2025-11-12 01:15:00+00:00,761.2088888888889,2025-11-17 06:00:00+00:00,0.5766666666666667
48,2025-05-13 06:30:00+00:00,0.5522222222222222,2025-05-13 23:00:00+00:00,156.7572222222222,2025-05-14 18:30:00+00:00,0.1855555555555555
49,2024-06-11 17:00:00+00:00,0.6811111111111111,2024-06-12 12:45:00+00:00,1123.4361111111111,2024-06-15 19:45:00+00:00,0.4511111111111111
50,2024-05-20 02:30:00+00:00,6.644444444444445,2024-05-21 00:45:00+00:00,819.3199999999999,2024-05-25 02:00:00+00:00,0.1744444444444444
51,2025-08-31 17:15:00+00:00,0.6266666666666667,2025-09-01 13:00:00+00:00,0.1788888888888888,2025-09-02 20:15:00+00:00,0.1555555555555555
