fold,n_val_windows,n_val_episodes,best_epoch,stopped_epoch,macro_f1,precision_quiet,recall_quiet,f1_quiet,support_quiet,precision_event,recall_event,f1_event,support_event
0,14477.0,3.0,12.0,27.0,0.8426387208485646,0.9155218371949969,0.8865283430954035,0.900791849498159,10073.0,0.757992801185687,0.812897366030881,0.7844855921989701,4404.0
1,16144.0,4.0,13.0,28.0,0.9110753071340918,0.9566393507836741,0.9636159640968104,0.9601149838303988,12478.0,0.873006993006993,0.8513366066557556,0.8620356304377849,3666.0
2,15941.0,5.0,22.0,37.0,0.8664334282642375,0.9187634177758695,0.9341657207718501,0.9264005541605334,11453.0,0.824487895716946,0.7892156862745098,0.8064663023679417,4488.0
3,16246.0,5.0,14.0,29.0,0.8583001419913656,0.9413422131147541,0.9084541858932103,0.9246058369674606,12136.0,0.754962505513895,0.8328467153284671,0.7919944470152707,4110.0
4,16057.0,5.0,23.0,38.0,0.8405873202531223,0.9028426940464332,0.9634505314799673,0.9321624935722479,12230.0,0.8512974051896207,0.6686699764828847,0.7490121469339968,3827.0
mean,15773.0,4.4,16.8,31.8,0.8638069836982764,0.9270219025831455,0.9312429490674484,0.92881514360576,11674.0,0.8123495201226284,0.7909932701544997,0.7987988237907929,4099.0
std,733.1210677643904,0.8944271909999159,5.263078946776307,5.263078946776307,0.02854280136766802,0.02160643846367453,0.03395808731227839,0.021211661103573427,972.2445679971681,0.05383198229043405,0.07217853996915974,0.04119334071481562,355.64729719203547
