target,P_idle_mW,P_burst_mW,dP_mW,n_iter,duration_s,n_tegra_samples_idle,n_tegra_samples_burst,pilot_ms_per_call,energy_per_op_mJ,cpu_seconds_total,cpu_seconds_per_op
tcn_infer,4080.0,4880.0,800.0,28509,60.18450736999512,61,61,2.10466429,1.683731432,59.61217599999999,0.0020909949840401273
fsm_eval,4080.0,4960.0,880.0,1458536,62.23938012123108,61,63,0.041137159,0.036200699919999996,61.749081000000004,4.2336343429301716e-05
