fold,n_val_windows,n_val_episodes,best_epoch,stopped_epoch,macro_f1,precision_quiet,recall_quiet,f1_quiet,support_quiet,precision_event,recall_event,f1_event,support_event
0,14402.0,3.0,18.0,33.0,0.8392840681317371,0.9168056713928273,0.8786092516734939,0.8973011581041783,10009.0,0.7474012474012474,0.8183473708172092,0.7812669781592959,4393.0
1,16117.0,4.0,18.0,33.0,0.8869092872701978,0.9389737563650608,0.9628082576913808,0.9507416514634727,12449.0,0.861873508353222,0.7876226826608506,0.823076923076923,3668.0
2,15864.0,5.0,37.0,52.0,0.823558403278788,0.8889077053344623,0.921928514973215,0.9051170409966806,11387.0,0.7807104094721263,0.7069466160375252,0.7419997655608955,4477.0
3,16098.0,5.0,11.0,26.0,0.8491492120071755,0.9332080628629996,0.9085315150507234,0.9207044745934103,12026.0,0.7494305239179955,0.8079567779960707,0.7775939494209406,4072.0
4,15984.0,5.0,73.0,88.0,0.8141705845217146,0.906457355559152,0.9206114398422091,0.9134795726983609,12168.0,0.7335907335907336,0.6970649895178197,0.7148615963450685,3816.0
mean,15693.0,4.4,31.4,46.4,0.8426143110419225,0.9168705103029005,0.9184977958462044,0.9174687795712206,11607.8,0.7746012845470649,0.7635876874058951,0.7677598425126246,4085.2
std,728.7667665309664,0.8944271909999159,25.18531318050264,25.18531318050264,0.028231248495963843,0.020284387886024744,0.030290580477748217,0.020571618185992305,974.8393200933167,0.05174223844342161,0.05739860717839156,0.04123389924073764,351.7622776819595
