forecast_min,exp_name,n_windows,fold,macro_f1,n_val_windows,n_val_episodes,best_epoch,stopped_epoch,precision_quiet,recall_quiet,f1_quiet,support_quiet,precision_event,recall_event,f1_event,support_event
0,omni_p6_binary,79099,mean,0.8474674966432275,15819.8,4.4,26.0,41.0,0.9278277910551284,0.9068784431185948,0.917166200341052,11706.4,0.7555397262490462,0.802177752515204,0.7777687929454032,4113.4
15,omni_p6_binary_fc15,78981,mean,0.850186317672453,15796.2,4.4,28.2,43.2,0.9232429020584536,0.9183313212240836,0.9205974851816984,11690.4,0.7798490490842718,0.7816521157663378,0.7797751501632073,4105.8
30,omni_p6_binary_fc30,78865,mean,0.8510697082616309,15773.0,4.4,30.6,45.6,0.9217521792283376,0.9233019383779532,0.922326738559501,11674.0,0.7874472514381461,0.7749199232762367,0.7798126779637606,4099.0
60,omni_p6_binary_fc60,78650,mean,0.8489254067125515,15730.0,4.4,27.0,42.0,0.920374770916374,0.9214630957434788,0.920743267511858,11641.6,0.7832482092802092,0.7728684624374719,0.777107545913245,4088.4
