fold,n_val_windows,n_val_episodes,best_epoch,stopped_epoch,macro_f1,precision_quiet,recall_quiet,f1_quiet,support_quiet,precision_event,recall_event,f1_event,support_event
0,14385.0,3.0,8.0,23.0,0.7933597006471977,0.8563594381373869,0.900728597449909,0.8779838232392977,9882.0,0.7541969431220246,0.6684432600488563,0.7087355780550977,4503.0
1,16038.0,4.0,12.0,27.0,0.8008739674913853,0.8897703233605319,0.9517536770648133,0.9197188598203827,12374.0,0.7869379014989293,0.6018013100436681,0.6820290751623879,3664.0
2,15832.0,5.0,27.0,42.0,0.8066285591063087,0.8840330350997936,0.9042590637099612,0.8940316686967114,11364.0,0.7414448669201521,0.6982990152193375,0.719225449515906,4468.0
3,16030.0,5.0,9.0,24.0,0.8132345231768954,0.8916403785488959,0.9386467413864674,0.9145399393326592,12045.0,0.7794029850746269,0.655207026348808,0.7119291070211315,3985.0
4,15995.0,5.0,28.0,43.0,0.7635362584642097,0.8750587866436745,0.9171869865264541,0.8956277577216205,12172.0,0.6886005560704356,0.5830499607637981,0.6314447592067989,3823.0
mean,15656.0,4.4,16.8,31.8,0.7955266017771995,0.8793723923580566,0.922515013227521,0.9003804097621343,11567.4,0.7501166505372338,0.6413601144848936,0.6906727937922643,4088.6
std,715.3911517484682,0.8944271909999159,9.884331034521255,9.884331034521255,0.019322886577233828,0.014392231422704696,0.022087596010738036,0.01687430910232202,1015.6514165795271,0.03901785620119105,0.04778139071450717,0.03597229186781037,379.8793229434843
