window_d,n_runs,wp_eval_ms_median(med of runs),wp_eval_ms_p95(mean of runs),dds_transport_ms_median(med of runs),dds_transport_ms_p95(mean of runs),fsm_infer_ms_median(med of runs),fsm_infer_ms_p95(mean of runs),node_latency_ms_median(med of runs),node_latency_ms_p95(mean of runs),power_mW_mean,gpu_%_mean,cpu_%_mean,ram_MB_mean
7,8,3.7979,4.3805,1.3573,1.8578,0.0371,0.049,0.4161,0.5499,4371.06,15.48,4.16,3081.52
30,7,7.3485,9.1094,1.3206,1.8412,0.0353,0.0485,0.3994,0.5511,4422.85,14.89,4.63,3167.19
