scenario,window,metric,n_reps,mean_of_medians_ms,std_ms,cv,flag_high_cv
b,cluster,M1,4,0.95955,0.014181325749026417,0.014779142044735988,False
b,cluster,M2,4,0.13095,0.0013076696830621965,0.009986022780161866,False
b,cluster,M3,4,0.0258,0.00016329931618554421,0.0063294308599048145,False
c1ch,cluster,M1,4,0.9726750000000001,0.047090152898456375,0.04841303919444457,False
c1ch,cluster,M2,4,0.13065,0.004182901704160241,0.032016086522466444,False
c1ch,cluster,M3,4,0.027250000000000003,0.0008582928793055829,0.03149698639653515,False
