timestamp,window_d,k,wp_eval_ms,dds_transport_ms,fsm_infer_ms,node_latency_ms,ap_state,rpn_result,fail_count,trigger_channels,gpu_%,cpu_%,power_mW,ram_MB
1781431770.5927293,30,10,1.8867,0.986,0.0343,0.36,NOMINAL,NORMAL,0,,11,12.5,4848,3070
1781431770.718883,30,10,2.6533,0.957,0.0343,0.428,NOMINAL,NORMAL,0,,11,12.5,4848,3070
1781431770.8436708,30,10,2.8625,0.775,0.023,0.25,NOMINAL,NORMAL,0,,11,12.5,4848,3070
1781431770.9691556,30,10,2.792,1.094,0.0367,0.486,NOMINAL,NORMAL,0,,11,12.5,4848,3070
1781431771.0942829,30,10,2.7271,1.196,0.0368,0.387,NOMINAL,NORMAL,0,,11,12.5,4848,3070
1781431771.2176845,30,10,1.5235,1.084,0.0373,0.39,NOMINAL,NORMAL,0,,11,12.5,4848,3070
1781431771.3443968,30,10,2.9518,1.163,0.0364,0.376,NOMINAL,NORMAL,0,,11,12.5,4848,3070
1781431771.4692245,30,10,2.7002,1.05,0.0365,0.371,NOMINAL,NORMAL,0,,11,12.5,4848,3070
1781431771.5927236,30,10,1.9264,0.747,0.0237,0.244,NOMINAL,NORMAL,0,,7,12.8,4848,3071
1781431771.7191465,30,10,2.6348,1.216,0.0365,0.375,NOMINAL,NORMAL,0,,7,12.8,4848,3071
1781431771.8431199,30,10,2.0779,0.855,0.0255,0.266,NOMINAL,NORMAL,0,,7,12.8,4848,3071
1781431771.9692664,30,10,2.8124,1.066,0.0357,0.492,NOMINAL,NORMAL,0,,7,12.8,4848,3071
1781431772.094066,30,10,2.7482,1.115,0.0365,0.365,NOMINAL,NORMAL,0,,7,12.8,4848,3071
1781431772.2184107,30,10,2.6306,0.946,0.026,0.363,NOMINAL,NORMAL,0,,7,12.8,4848,3071
1781431772.3442032,30,10,2.6499,1.063,0.0356,0.471,NOMINAL,NORMAL,0,,7,12.8,4848,3071
1781431772.4687586,30,10,2.7815,0.855,0.0237,0.259,NOMINAL,NORMAL,0,,7,12.8,4848,3071
