fold,n_val_windows,n_val_episodes,best_epoch,stopped_epoch,macro_f1,precision_quiet,recall_quiet,f1_quiet,support_quiet,precision_event,recall_event,f1_event,support_event
0,14524.0,3.0,32.0,47.0,0.8397918886801261,0.9206084600958533,0.8744186046511628,0.8969192508755012,10105.0,0.7423873325213155,0.8275627970128988,0.7826645264847512,4419.0
1,16161.0,4.0,23.0,38.0,0.9226038013772273,0.9609051760533649,0.9568653829984024,0.9588810246039771,11893.0,0.881194997684113,0.8915182755388941,0.8863265781504776,4268.0
2,15983.0,5.0,37.0,52.0,0.8915335614302651,0.9433629877565402,0.9327643267723393,0.9380337201664112,11482.0,0.8332613390928726,0.8571428571428571,0.845033402694119,4501.0
3,16326.0,5.0,27.0,42.0,0.8717877833964215,0.9542447190115584,0.931957960295835,0.9429696730996455,12845.0,0.7688442211055276,0.8351048549267452,0.8006058936931975,3481.0
4,16105.0,5.0,59.0,74.0,0.8388714539821122,0.9126314112774769,0.9387236831326288,0.9254936800872269,12207.0,0.78923640462102,0.7185736275012827,0.7522492278769974,3898.0
mean,15819.8,4.4,35.6,50.6,0.8729176977732305,0.9383505508389588,0.9269459915700736,0.9324594697665525,11706.4,0.8029848590049697,0.8259804824245356,0.8133759257799085,4113.4
std,734.8004491016592,0.8944271909999159,14.099645385611653,14.099645385611653,0.03561250455212462,0.020992356633031374,0.031032173761868224,0.02319086342900345,1024.2884359397992,0.054909367162601565,0.06497746975280326,0.05283637593680454,422.44916853983744
