08-09-2026 19:34:36 RAM 2984/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@729,3%@729,2%@729,17%@729,1%@729,0%@729] GR3D_FREQ 12% cpu@48.437C soc2@47.656C soc0@46.25C gpu@47.75C tj@48.437C soc1@46.187C VDD_IN 4313mW/4373mW VDD_CPU_GPU_CV 717mW/743mW VDD_SOC 1315mW/1337mW
08-09-2026 19:34:37 RAM 2984/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [4%@729,2%@729,4%@729,19%@729,2%@729,1%@729] GR3D_FREQ 10% cpu@48.593C soc2@47.5C soc0@46.312C gpu@47.781C tj@48.593C soc1@46.031C VDD_IN 4313mW/4369mW VDD_CPU_GPU_CV 717mW/742mW VDD_SOC 1315mW/1336mW
08-09-2026 19:34:38 RAM 2984/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [4%@1510,1%@1510,2%@1510,21%@1510,1%@729,0%@729] GR3D_FREQ 16% cpu@48.5C soc2@47.593C soc0@46.187C gpu@47.75C tj@48.5C soc1@46.125C VDD_IN 4346mW/4368mW VDD_CPU_GPU_CV 756mW/743mW VDD_SOC 1315mW/1335mW
08-09-2026 19:34:39 RAM 2984/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [6%@729,4%@729,2%@729,20%@729,1%@729,0%@729] GR3D_FREQ 7% cpu@48.437C soc2@47.593C soc0@46.25C gpu@47.593C tj@48.531C soc1@45.968C VDD_IN 4425mW/4371mW VDD_CPU_GPU_CV 756mW/743mW VDD_SOC 1355mW/1336mW
08-09-2026 19:34:40 RAM 2984/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@729,1%@729,3%@729,15%@729,1%@729,0%@729] GR3D_FREQ 7% cpu@48.5C soc2@47.593C soc0@46.312C gpu@47.5C tj@48.5C soc1@46.218C VDD_IN 4432mW/4374mW VDD_CPU_GPU_CV 756mW/744mW VDD_SOC 1355mW/1337mW
08-09-2026 19:34:41 RAM 2984/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@729,2%@729,2%@729,15%@729,0%@729,0%@729] GR3D_FREQ 7% cpu@48.562C soc2@47.562C soc0@46.281C gpu@47.562C tj@48.75C soc1@46.062C VDD_IN 4432mW/4377mW VDD_CPU_GPU_CV 757mW/745mW VDD_SOC 1355mW/1337mW
08-09-2026 19:34:42 RAM 2984/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [5%@1510,1%@1510,2%@1510,16%@1510,0%@729,1%@729] GR3D_FREQ 7% cpu@48.687C soc2@47.625C soc0@46.156C gpu@47.812C tj@48.687C soc1@46.062C VDD_IN 4432mW/4379mW VDD_CPU_GPU_CV 756mW/745mW VDD_SOC 1355mW/1338mW
08-09-2026 19:34:43 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [3%@1510,2%@1510,2%@1510,16%@1510,1%@729,0%@729] GR3D_FREQ 7% cpu@48.312C soc2@47.531C soc0@46.312C gpu@47.812C tj@48.312C soc1@46.125C VDD_IN 4425mW/4381mW VDD_CPU_GPU_CV 756mW/745mW VDD_SOC 1355mW/1339mW
08-09-2026 19:34:44 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [4%@1510,0%@1510,4%@1510,16%@1510,2%@729,0%@729] GR3D_FREQ 7% cpu@48.343C soc2@47.531C soc0@46.25C gpu@47.875C tj@48.343C soc1@46.218C VDD_IN 4425mW/4383mW VDD_CPU_GPU_CV 756mW/746mW VDD_SOC 1355mW/1340mW
08-09-2026 19:34:45 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [6%@729,9%@729,3%@729,9%@729,0%@729,1%@729] GR3D_FREQ 12% cpu@48.593C soc2@47.593C soc0@46.406C gpu@47.625C tj@48.593C soc1@46.062C VDD_IN 4425mW/4385mW VDD_CPU_GPU_CV 756mW/746mW VDD_SOC 1355mW/1340mW
08-09-2026 19:34:46 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [15%@729,13%@729,3%@729,2%@729,1%@729,1%@729] GR3D_FREQ 11% cpu@48.718C soc2@47.531C soc0@46.25C gpu@47.593C tj@48.718C soc1@45.968C VDD_IN 4465mW/4388mW VDD_CPU_GPU_CV 756mW/747mW VDD_SOC 1355mW/1341mW
08-09-2026 19:34:47 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [7%@1510,15%@1510,4%@1510,2%@1510,1%@729,2%@729] GR3D_FREQ 9% cpu@48.406C soc2@47.5C soc0@46.187C gpu@47.656C tj@48.406C soc1@46.062C VDD_IN 4465mW/4391mW VDD_CPU_GPU_CV 756mW/747mW VDD_SOC 1355mW/1341mW
08-09-2026 19:34:48 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [16%@729,10%@729,0%@729,1%@729,2%@729,2%@729] GR3D_FREQ 15% cpu@48.437C soc2@47.656C soc0@46.187C gpu@47.843C tj@48.437C soc1@46.156C VDD_IN 4425mW/4392mW VDD_CPU_GPU_CV 756mW/747mW VDD_SOC 1355mW/1342mW
08-09-2026 19:34:49 RAM 2985/7620MB (lfb 19x4MB) SWAP 2/12002MB (cached 0MB) CPU [27%@729,7%@729,2%@729,0%@729,1%@729,1%@729] GR3D_FREQ 15% cpu@48.687C soc2@47.531C soc0@46.25C gpu@47.875C tj@48.687C soc1@45.968C VDD_IN 4385mW/4392mW VDD_CPU_GPU_CV 756mW/748mW VDD_SOC 1355mW/1342mW
