phys_ts,ap_pub_wall_ts,n_channels,resample_ms,z_eval_ms,bg_update_ms,dds_transport_ms,fsm_eval_ms,node_latency_ms,from_state,ap_state,rpn_result,counter,trigger_channels
1647605700.0,1786288597.8439353,3,2.2997,0.1142,,0.593,0.0325,0.274,NOMINAL,NOMINAL,STALE,0,
1647606600.0,1786288597.968948,3,2.2372,0.1115,,0.697,0.0331,0.285,NOMINAL,NOMINAL,STALE,0,
1647607500.0,1786288598.093596,3,2.2156,0.11,,0.528,0.0301,0.232,NOMINAL,NOMINAL,STALE,0,
1647608400.0,1786288598.2184286,3,2.1697,0.1101,,0.468,0.0252,0.199,NOMINAL,NOMINAL,STALE,0,
1647609300.0,1786288598.3436852,3,2.1363,0.1109,,0.648,0.0312,0.247,NOMINAL,NOMINAL,STALE,0,
1647610200.0,1786288598.4683235,3,2.067,0.1102,,0.467,0.0261,0.22,NOMINAL,NOMINAL,STALE,0,
1647611100.0,1786288598.593494,3,2.1603,0.1101,,0.53,0.0262,0.212,NOMINAL,NOMINAL,STALE,0,
1647612000.0,1786288598.7186222,3,2.1434,0.11,,0.628,0.0295,0.242,NOMINAL,NOMINAL,STALE,0,
1647612900.0,1786288598.8434794,3,2.0624,0.1094,,0.598,0.0272,0.226,NOMINAL,NOMINAL,STALE,0,
1647613800.0,1786288598.968728,3,2.1482,0.1113,,0.66,0.0337,0.257,NOMINAL,NOMINAL,STALE,0,
1647614700.0,1786288599.0934927,3,2.1631,0.1082,,0.499,0.0294,0.231,NOMINAL,NOMINAL,STALE,0,
1647615600.0,1786288599.2184346,3,2.1847,0.1104,,0.458,0.023,0.196,NOMINAL,NOMINAL,STALE,0,
1647616500.0,1786288599.3437786,3,2.1527,0.1126,,0.79,0.0309,0.239,NOMINAL,NOMINAL,STALE,0,
1647617400.0,1786288599.468451,3,2.0752,0.1072,,0.548,0.0243,0.252,NOMINAL,NOMINAL,STALE,0,
1647618300.0,1786288599.59355,3,2.1679,0.1085,,0.556,0.0264,0.231,NOMINAL,NOMINAL,STALE,0,
1647619200.0,1786288599.7187295,3,2.1939,0.1101,,0.624,0.031,0.251,NOMINAL,NOMINAL,STALE,0,
1647620100.0,1786288599.8434482,3,2.0734,0.1074,,0.551,0.026,0.223,NOMINAL,NOMINAL,STALE,0,
1647621000.0,1786288599.9687276,3,2.1289,0.1102,,0.687,0.0333,0.255,NOMINAL,NOMINAL,STALE,0,
1647621900.0,1786288600.093603,3,2.2045,0.1106,,0.524,0.0325,0.257,NOMINAL,NOMINAL,STALE,0,
1647622800.0,1786288600.2186728,3,2.1954,0.1108,,0.587,0.032,0.252,NOMINAL,NOMINAL,STALE,0,
1647623700.0,1786288600.3434472,3,2.0872,0.109,,0.541,0.0283,0.232,NOMINAL,NOMINAL,STALE,0,
1647624600.0,1786288600.4686828,3,2.0839,0.1082,,0.689,0.0337,0.262,NOMINAL,NOMINAL,STALE,0,
1647625500.0,1786288600.593625,3,2.168,0.1096,,0.586,0.0321,0.248,NOMINAL,NOMINAL,STALE,0,
1647626400.0,1786288600.7186928,3,2.1671,0.1107,,0.63,0.0333,0.259,NOMINAL,NOMINAL,STALE,0,
1647627300.0,1786288600.8434262,3,2.0808,0.1089,,0.489,0.0259,0.245,NOMINAL,NOMINAL,STALE,0,
1647628200.0,1786288600.9687269,3,2.1235,0.1103,,0.684,0.0322,0.264,NOMINAL,NOMINAL,STALE,0,
1647629100.0,1786288601.093623,3,2.1735,0.1081,,0.566,0.0319,0.263,NOMINAL,NOMINAL,STALE,0,
1647630000.0,1786288601.218458,3,2.1442,0.1088,,0.506,0.0247,0.218,NOMINAL,NOMINAL,STALE,0,
