timestamp,event,state,ap_state,nav_state,action_ms,e2e_ms,passive,ai_gate_mode,arming_state,no_px4
1787427011.0195298,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.587,,0,gate,1,0
1787427011.7712789,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,1.849,,0,gate,1,0
1787427014.8943915,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.695,,0,gate,1,0
1787427016.5193684,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.546,,0,gate,1,0
1787427017.3945575,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.709,,0,gate,1,0
1787427022.7698324,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.776,,0,gate,1,0
1787427023.6446998,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.701,,0,gate,1,0
1787427027.519291,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.575,,0,gate,1,0
1787427028.3943677,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.656,,0,gate,1,0
1787427029.2695,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.606,,0,gate,1,0
1787427033.769497,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.665,,0,gate,1,0
1787427034.6444917,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.646,,0,gate,1,0
1787427039.394694,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.731,,0,gate,1,0
1787427041.0196476,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.625,,0,gate,1,0
1787427041.895123,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.71,,0,gate,1,0
1787427045.6443202,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.601,,0,gate,1,0
1787427047.269566,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.659,,0,gate,1,0
1787427048.144825,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.656,,0,gate,1,0
1787427052.0195036,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.525,,0,gate,1,0
1787427052.8950882,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.693,,0,gate,1,0
1787427058.2697616,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.933,,0,gate,1,0
1787427059.144668,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.625,,0,gate,1,0
1787427063.0195365,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.523,,0,gate,1,0
1787427063.8943765,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.605,,0,gate,1,0
1787427065.5192482,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.511,,0,gate,1,0
1787427069.2694392,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.561,,0,gate,1,0
1787427070.144238,PRE_ALERT_PRESTREAM,IDLE,PRE_ALERT,14,0.528,,0,gate,1,0
