fold,n_val_windows,n_val_episodes,best_epoch,stopped_epoch,macro_f1,precision_quiet,recall_quiet,f1_quiet,support_quiet,precision_rising,recall_rising,f1_rising,support_rising,precision_decreasing,recall_decreasing,f1_decreasing,support_decreasing
0,14524.0,3.0,27.0,42.0,0.6024162905217886,0.9232629033953538,0.8691736763978228,0.895402181669895,10105.0,0.3528578176665092,0.47488874761602035,0.40487804878048783,1573.0,0.5027643400138218,0.511243851018974,0.5069686411149826,2846.0
1,16161.0,4.0,23.0,38.0,0.6310847781778793,0.9354704412989175,0.9446733372572101,0.9400493661883446,11893.0,0.2939121756487026,0.5895895895895896,0.39227439227439226,999.0,0.7074988355845365,0.46466809421841543,0.560930576070901,3269.0
2,15983.0,5.0,27.0,42.0,0.5848341490297889,0.9142081108925728,0.850113220693259,0.8809964348571686,11482.0,0.24607961399276237,0.43823845327604727,0.31517960602549244,931.0,0.5523574561403509,0.5644257703081232,0.5583264062067055,3570.0
3,16326.0,5.0,31.0,46.0,0.569014955008098,0.9565363598150484,0.8857921370182951,0.9198059822150364,12845.0,0.18698441796516957,0.27604871447902574,0.22295081967213115,739.0,0.5137724550898204,0.6258205689277899,0.564288063137126,2742.0
4,16105.0,5.0,23.0,38.0,0.6006166820686614,0.8887500975876337,0.9325796674039486,0.910137511992325,12207.0,0.3707615341856587,0.6268796992481203,0.4659448131330772,1064.0,0.6158984635938544,0.32533521524347214,0.42576772108058186,2834.0
mean,15819.8,4.4,26.2,41.2,0.5975933709612432,0.9236455825979052,0.8964664077541071,0.909278295384554,11706.4,0.2901191118917605,0.48112904084176067,0.3602455359771161,1061.2,0.5784583100844769,0.49829869994335496,0.5232562815220594,3052.2
std,734.8004491016592,0.8944271909999159,3.3466401061363023,3.3466401061363023,0.023095448270045373,0.02514228360208033,0.04072937136140118,0.022643097227987054,1024.2884359397992,0.07587815112881569,0.13869339303197603,0.0936362953050503,310.8781111625584,0.08462906391157361,0.11385251218312438,0.05937629970080208,354.07372113727956
