metric,n_iter,n_warmup_excluded,median_ms,p95_ms,min_ms
M1_resample_ms,10000,100,0.531919,0.6039305999999999,0.404747
M2_z_eval_ms,100000,100,0.031616,0.032353,0.030241
M3_fsm_eval_ms,100000,100,0.005536,0.007552,0.00512
M4_bg_update_ms,10000,100,0.170725,0.1905346,0.166308
M7_preproc_ms,10000,100,0.045185,0.050689,0.037153
zbuf_update_ms,100000,100,0.000928,0.000992,0.000864
serialize_ms,10000,100,0.007328,0.007648,0.007136
M8_infer_ms,1000,20,2.1279775,2.3518608,2.039863
