target,P_idle_mW,P_burst_mW,dP_mW,n_iter,duration_s,n_tegra_samples_idle,n_tegra_samples_burst,pilot_ms_per_call,energy_per_op_mJ,cpu_seconds_total,cpu_seconds_per_op
tcn_infer,4113.0,4920.0,807.0,28374,59.946757555007935,61,61,2.114648028,1.7065209585960002,59.25077499999999,0.0020882066328328746
fsm_eval,4113.0,4999.0,886.0,1461048,62.4709906578064,61,64,0.041066425000000004,0.036384852550000006,61.906862000000004,4.2371545630259925e-05
