fold,n_val_windows,n_val_episodes,best_epoch,stopped_epoch,macro_f1,precision_quiet,recall_quiet,f1_quiet,support_quiet,precision_event,recall_event,f1_event,support_event
0,14390.0,3.0,27.0,42.0,0.8330975163729606,0.9164907094594594,0.8687080956669668,0.8919599280760339,9993.0,0.7332248881659211,0.820104616784171,0.7742351046698873,4397.0
1,16089.0,4.0,15.0,30.0,0.8745173685144454,0.9334379905808478,0.9574108364865953,0.9452724454512936,12421.0,0.8420424007166318,0.7688113413304253,0.8037622915775973,3668.0
2,15863.0,5.0,35.0,50.0,0.8251374697367229,0.9053128059090505,0.8939367311072056,0.899588804881284,11380.0,0.7390834414180718,0.7626589337497212,0.7506861345921616,4483.0
3,16078.0,5.0,19.0,34.0,0.8540664677310241,0.9317874069058903,0.9170414792603698,0.9243556376458736,12006.0,0.7663068981698733,0.8020628683693517,0.7837772978161747,4072.0
4,15988.0,5.0,14.0,29.0,0.7915375297530446,0.8869919335891613,0.930572672746693,0.9082598235765837,12171.0,0.7374961168064617,0.621954414461619,0.6748152359295054,3817.0
mean,15681.6,4.4,22.0,37.0,0.8356712704216396,0.914804169288882,0.9135339630535662,0.9138873279262137,11594.2,0.7636307490553919,0.7551184349390576,0.7574552129170652,4087.4
std,727.6890132467303,0.8944271909999159,8.888194417315589,8.888194417315589,0.03127608852327333,0.01937847070248631,0.03398974186106062,0.021281086327481977,974.114828960118,0.045731976181290476,0.07810889004839576,0.049984869392192446,354.11904777913315
