gate,n_gate_open_ticks,duty_cycle,n_invocations_day,n_det,POD_noaa,event_FAR_noaa,precision_noaa,f1_noaa,POD_manual,event_FAR_manual,precision_manual,f1_manual,n_events_total,duty_cycle_x_base_rate
N=1,42812,0.18075727892994664,16.74312647929898,26608,1.0,0.19230769230769232,0.8076923076923077,0.8936170212765957,1.0,0.14516129032258066,0.8548387096774194,0.9217391304347826,14,2.08158700831429
N=2,16204,0.06841518611092347,6.337139621380937,15235,1.0,0.20754716981132076,0.7924528301886793,0.8842105263157896,1.0,0.15873015873015872,0.8412698412698413,0.9137931034482758,16,0.7878640540671952
N=3,969,0.004091231507126934,0.3789612622264952,513,0.8333333333333334,0.6236559139784946,0.3763440860215054,0.5185185185185185,0.5660377358490566,0.6703296703296703,0.32967032967032966,0.41666666666666663,88,0.04711430933048087
N=4,456,0.001925285415118557,0.17833471163599773,216,0.7380952380952381,0.06060606060606061,0.9393939393939394,0.8266666666666667,0.4339622641509434,0.17857142857142858,0.8214285714285714,0.5679012345679013,28,0.022171439684932175
"ALERT(wallclock 1h, 실제엔진)",250,0.001055529284604472,0.09777122348464788,195,0.6904761904761905,0.06451612903225806,0.9354838709677419,0.7945205479452055,0.41509433962264153,0.18518518518518517,0.8148148148148148,0.55,26,0.012155394564107552
